date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:41:22	37995/37995	---MCZ	200	added ('OK')	text/html	date:Sat,%2018%20Oct%202025%2012:41:21%20GMT	https://haitacmanhnhat.vn/su-kien/to-doi-chien-hai-tac-chien-dau-lan-2-191.html	./haitac_site/haitacmanhnhat.vn/su-kien/to-doi-chien-hai-tac-chien-dau-lan-2-191.html	(from https://haitacmanhnhat.vn/)
19:41:23	28744/28744	---MCZ	200	added ('OK')	text/html	date:Sat,%2018%20Oct%202025%2012:41:22%20GMT	https://haitacmanhnhat.vn/su-kien/qua-mung-le-trung-thu-2025-189.html	./haitac_site/haitacmanhnhat.vn/su-kien/qua-mung-le-trung-thu-2025-189.html	(from https://haitacmanhnhat.vn/)
19:41:24	31455/31455	---MCZ	200	added ('OK')	text/html	date:Sat,%2018%20Oct%202025%2012:41:23%20GMT	https://haitacmanhnhat.vn/su-kien/san-dau-gia-lien-sever-lan-2-185.html	./haitac_site/haitacmanhnhat.vn/su-kien/san-dau-gia-lien-sever-lan-2-185.html	(from https://haitacmanhnhat.vn/)
19:41:25	44080/44080	---MCZ	200	added ('OK')	text/html	date:Sat,%2018%20Oct%202025%2012:41:24%20GMT	https://haitacmanhnhat.vn/su-kien	./haitac_site/haitacmanhnhat.vn/su-kien.html	(from https://haitacmanhnhat.vn/)
19:41:26	28345/28345	---MCZ	200	added ('OK')	text/html	date:Sat,%2018%20Oct%202025%2012:41:25%20GMT	https://haitacmanhnhat.vn/update/cap-nhat-dieu-chinh-tuong-thang-10-199.html	./haitac_site/haitacmanhnhat.vn/update/cap-nhat-dieu-chinh-tuong-thang-10-199.html	(from https://haitacmanhnhat.vn/)
19:41:27	33351/33351	---MCZ	200	added ('OK')	text/html	date:Sat,%2018%20Oct%202025%2012:41:26%20GMT	https://haitacmanhnhat.vn/update/cap-nhat-tinh-nang-phien-ban-thang-9-151.html	./haitac_site/haitacmanhnhat.vn/update/cap-nhat-tinh-nang-phien-ban-thang-9-151.html	(from https://haitacmanhnhat.vn/)
19:41:28	29010/29010	---MCZ	200	added ('OK')	text/html	date:Sat,%2018%20Oct%202025%2012:41:27%20GMT	https://haitacmanhnhat.vn/update/thong-ba-o-ca-p-nha-t-die-u-chi-nh-tuo-ng-thang-8-133.html	./haitac_site/haitacmanhnhat.vn/update/thong-ba-o-ca-p-nha-t-die-u-chi-nh-tuo-ng-thang-8-133.html	(from https://haitacmanhnhat.vn/)
19:41:29	37106/37106	---MCZ	200	added ('OK')	text/html	date:Sat,%2018%20Oct%202025%2012:41:28%20GMT	https://haitacmanhnhat.vn/update/tinh-nang-tinh-ban-va-chi-so-thien-phu-123.html	./haitac_site/haitacmanhnhat.vn/update/tinh-nang-tinh-ban-va-chi-so-thien-phu-123.html	(from https://haitacmanhnhat.vn/)
19:41:30	29314/29314	---MCZ	200	added ('OK')	text/html	date:Sat,%2018%20Oct%202025%2012:41:29%20GMT	https://haitacmanhnhat.vn/update/thong-tin-va-chi-so-thoi-trang-121.html	./haitac_site/haitacmanhnhat.vn/update/thong-tin-va-chi-so-thoi-trang-121.html	(from https://haitacmanhnhat.vn/)
19:41:31	29990/29990	---MCZ	200	added ('OK')	text/html	date:Sat,%2018%20Oct%202025%2012:41:30%20GMT	https://haitacmanhnhat.vn/update/cap-nhat-toi-uu-he-thong-va-lo-trinh-dieu-chinh-tuong-dot-2-lan-2-119.html	./haitac_site/haitacmanhnhat.vn/update/cap-nhat-toi-uu-he-thong-va-lo-trinh-dieu-chinh-tuong-dot-2-lan-2-119.html	(from https://haitacmanhnhat.vn/)
